station_id,station_number,station_name,candidate_role,candidate_rows,requested_units,assigned_units,uncovered_units,mean_risk_score,sensitive_hour_rows,sensitive_station_rows
181,173,Puente Praga,donor,187,1224,1224,0,0.8472702345989305,9,0
181,173,Puente Praga,receiver,17,100,45,55,0.6099411188235294,5,0
182,174,Madrid Río-Yeserías,donor,33,240,240,0,0.8447368575757576,2,0
182,174,Madrid Río-Yeserías,receiver,12,53,15,38,0.6543469716666667,0,0
183,175,Jaime el Conquistador,receiver,98,538,312,226,0.6956149646938775,14,0
184,176,Beata,donor,62,394,394,0,0.7961843319354839,5,0
184,176,Beata,receiver,129,335,242,93,0.9007639168217054,15,0
185,177,Legazpi,donor,45,272,272,0,0.7652888646666666,4,0
185,177,Legazpi,receiver,11,68,23,45,0.6565671045454545,3,0
186,178,Junta Municipal Retiro,donor,101,626,626,0,0.7929043745544554,7,0
186,178,Junta Municipal Retiro,receiver,17,114,92,22,0.7192118082352942,5,0
187,179,Puente de Vallecas,donor,151,962,962,0,0.8132745643046357,16,0
187,179,Puente de Vallecas,receiver,8,48,39,9,0.66281175375,1,0
188,180,Méndez Álvaro,donor,24,148,148,0,0.7919749116666667,1,0
188,180,Méndez Álvaro,receiver,6,35,26,9,0.643579205,3,0
189,181,Retiro-Ibiza,donor,17,126,126,0,0.7761012294117646,0,0
189,181,Retiro-Ibiza,receiver,57,436,317,119,0.7193682271929824,9,0
190,182,Parque Roma,donor,3,15,15,0,0.5734970533333333,0,0
190,182,Parque Roma,receiver,36,225,149,76,0.663125788611111,8,0
191,183,Doctor Esquerdo-Hermosilla,receiver,289,611,494,117,0.9466548874394465,41,0
192,184,Marqués de Zafra,donor,8,49,49,0,0.86261346375,0,0
192,184,Marqués de Zafra,receiver,94,583,399,184,0.7423470421276597,12,0
193,185,Quinta Fuente del Berro,receiver,108,689,472,217,0.7501042650925925,10,0
194,186,General Pardiñas,receiver,158,1001,581,420,0.7788662441772152,21,0
195,187,Alcalá-Ventas,donor,20,121,121,0,0.7894770744999999,3,0
195,187,Alcalá-Ventas,receiver,12,76,33,43,0.7369365133333333,1,0
196,188,Puente de Ventas,receiver,34,256,145,111,0.7488480438235294,5,0
197,189,Avenida Donostiarra,donor,3,16,16,0,0.6536376133333334,0,0
197,189,Avenida Donostiarra,receiver,60,382,155,227,0.714053587,10,0
198,190,Velázquez-Diego de León,donor,11,75,75,0,0.750028710909091,2,0
198,190,Velázquez-Diego de León,receiver,212,961,327,634,0.8651901325943396,19,0
199,191,Diego de león,receiver,121,638,241,397,0.7425784380991736,21,0
200,192,Avenida de los Toreros,receiver,168,1126,594,532,0.7972892185119048,30,0
201,193,Ventas,donor,2,13,13,0,0.6595457,2,0
201,193,Ventas,receiver,110,824,408,416,0.7482383147272728,13,0
202,194,Avenida de América 2,donor,2,12,12,0,0.576354075,0,2
202,194,Avenida de América 2,receiver,248,1653,749,904,0.8075083180241935,37,248
203,195,Avenida de América 1,receiver,453,1569,828,741,0.8967539693598234,55,0
204,196,Prosperidad,donor,4,26,26,0,0.79499945,0,0
204,196,Prosperidad,receiver,106,672,206,466,0.6842173039622642,12,0
205,197,Parque Berlín,donor,3,16,16,0,0.5893283533333333,0,0
205,197,Parque Berlín,receiver,50,317,45,272,0.740446675,6,0
206,198,Rubén Darío,donor,14,88,88,0,0.7028533571428571,2,0
206,198,Rubén Darío,receiver,241,1606,599,1007,0.8329040482157677,29,0
207,199,Fernando el Católico,receiver,26,170,77,93,0.7082705873076923,2,0
208,200,Quevedo,donor,13,80,80,0,0.7201961415384616,0,0
