fecha_hora_local,transfer_pairs,transferred_units,mean_distance_km,max_distance_km,stable_support_pairs
2022-12-13 01:00:00,27,53,1.9175679757405302,2.8785309376251678,27
2022-12-13 02:00:00,27,53,1.9485576386076657,2.9837264523343774,27
2022-12-13 03:00:00,26,51,1.9578936423772022,2.9267324700222894,26
2022-12-13 04:00:00,29,54,1.9091536880953601,2.906787282992784,29
2022-12-13 05:00:00,28,48,1.8876578738188587,2.907155504250296,28
2022-12-13 06:00:00,30,52,2.1538795079164372,2.907155504250296,29
2022-12-13 07:00:00,27,47,2.0521902398213228,2.907155504250296,26
2022-12-13 08:00:00,18,37,1.8535842319397773,2.907155504250296,17
2022-12-13 09:00:00,22,31,1.9649856383993447,2.717810810129493,22
2022-12-13 10:00:00,18,28,1.9984708108752751,2.831629857431146,18
2022-12-13 11:00:00,22,30,1.9761618196141852,2.831629857431146,22
2022-12-13 12:00:00,24,35,1.9548249345215158,2.9930903274831326,24
2022-12-13 13:00:00,18,30,1.9471307113543128,2.603105872599926,18
2022-12-13 14:00:00,18,35,1.9331750356076651,2.8995700787638685,18
2022-12-13 15:00:00,17,33,2.010687995869106,2.9764916313409535,17
2022-12-13 16:00:00,14,26,1.815897750029757,2.603105872599926,13
2022-12-13 17:00:00,18,36,2.0391074439942525,2.750068741928983,17
2022-12-13 18:00:00,24,54,2.162009685402485,2.9292376206794613,22
2022-12-13 19:00:00,31,65,1.9274156597096108,2.991893719081627,26
2022-12-13 20:00:00,30,68,2.0501019068689628,2.96050931414927,23
2022-12-13 21:00:00,38,94,2.033734772693376,2.975217883381519,31
2022-12-13 22:00:00,38,99,2.0173392737290516,2.9844765786739114,30
2022-12-13 23:00:00,35,92,1.980925342093271,2.950730199308719,28
