class_value,class_name,original_feature,mean_abs_shap,mean_signed_shap,median_shap,q25_shap,q75_shap,shap_rank_within_class,test_class_share,weighted_abs_shap_component
0,estable,solar_radiation_median_w_m2,0.009223898872733116,-0.004406040068715811,-0.003721894696354866,-0.011113932356238365,0.0018808827735483646,29,0.8702677893137503,0.008027262080827042
0,estable,precipitation_mean_l_m2,0.003175123827531934,0.001575544010847807,-0.0004032125580124557,-0.0010614767670631409,0.00015296328638214618,42,0.8702677893137503,0.0027632079941836292
0,estable,precipitation_max_l_m2,0.0006281939567998052,7.712302613072097e-05,-5.4794018069515005e-06,-9.474456601310521e-05,0.00018453058146405965,48,0.8702677893137503,0.000546696966044424
0,estable,n_temperature,0.006383258383721113,0.002933850046247244,0.002781492657959461,-0.0013422585325315595,0.0064607663080096245,32,0.8702677893137503,0.0055551441622194355
0,estable,n_relative_humidity,0.01383577473461628,0.012866226024925709,0.00975111685693264,0.004821698646992445,0.018650304526090622,18,0.8702677893137503,0.01204082909173755
0,estable,n_precipitation,0.0017609712667763233,-0.00040353488293476403,-0.00048370324657298625,-0.001257497351616621,0.00033122528111562133,46,0.8702677893137503,0.0015325165713824653
0,estable,hour,0.08267942070960999,0.006605814676731825,0.009745260700583458,-0.03894709423184395,0.0641368180513382,5,0.8702677893137503,0.07195323668269378
0,estable,day_of_week,0.009313463233411312,0.002138255862519145,0.0024934420362114906,-0.003428275929763913,0.008987008593976498,28,0.8702677893137503,0.008105207058995756
0,estable,month,0.004099368583410978,0.0002389753208262846,-0.0010065468959510326,-0.0024938976857811213,0.001485064858570695,41,0.8702677893137503,0.003567548434667312
0,estable,week_of_year,0.012640444561839104,0.004555148538202047,-0.000628937385044992,-0.006898030638694763,0.011090227402746677,21,0.8702677893137503,0.011000571744774734
0,estable,occupancy_ratio_lag_1h,0.032711468636989594,-0.016867568716406822,0.000564956571906805,-0.048163898289203644,0.013404195196926594,7,0.8702677893137503,0.02846773749591901
0,estable,occupancy_ratio_lag_2h,0.011535034514963627,-0.0034087137319147587,0.0012856719549745321,-0.012355432845652103,0.00725060049444437,24,0.8702677893137503,0.010038568986995204
0,estable,occupancy_ratio_lag_24h,0.014179054647684097,0.0015106232604011893,0.00734515767544508,-0.0030289131682366133,0.012722490355372429,17,0.8702677893137503,0.012339574542798895
0,estable,bikes_available_lag_1h,0.004728188272565603,-0.0032824871595948935,-0.002745129633694887,-0.005751901306211948,-0.00023790802515577525,36,0.8702677893137503,0.0041147899554248675
0,estable,bikes_available_lag_2h,0.005107779987156391,-0.0017334939911961555,5.636378045892343e-05,-0.006183066871017218,0.0028496654704213142,33,0.8702677893137503,0.004445136397723608
0,estable,bikes_available_lag_24h,0.005033669527620077,-0.0004075044416822493,0.0006716071511618793,-0.003887700382620096,0.003974334802478552,35,0.8702677893137503,0.004380640451937914
0,estable,net_flow_lag_1h,0.006414695177227259,0.003839818062260747,0.002347176428884268,0.00041012922883965075,0.007050961256027222,31,0.8702677893137503,0.005582502591007142
0,estable,net_flow_lag_2h,0.0027945912443101406,0.0003263540274929255,0.0005137390689924359,-0.000533861864823848,0.0014816385228186846,43,0.8702677893137503,0.0024320427442213488
0,estable,net_flow_lag_24h,0.014820192940533161,0.0010032884310930967,0.0008530468912795186,-0.009074942208826542,0.009448137134313583,15,0.8702677893137503,0.012897536547561043
0,estable,departures_count_lag_1h,0.016813091933727264,0.005523580126464367,0.008182630874216557,0.0006576530868187547,0.014725149609148502,12,0.8702677893137503,0.014631892348693673
0,estable,departures_count_lag_2h,0.002598004648461938,-0.0005523971049115062,-0.000579170766286552,-0.0019743507727980614,0.001066429540514946,44,0.8702677893137503,0.0022609597620438177
0,estable,departures_count_lag_24h,0.009984937496483326,0.00044747753418050706,0.002126942854374647,-0.004357204306870699,0.007463639602065086,26,0.8702677893137503,0.008689569481500516
0,estable,arrivals_count_lag_1h,0.02438606321811676,0.008271857164800167,0.011976112611591816,-0.010199867188930511,0.028962040320038795,9,0.8702677893137503,0.021222405326895833
0,estable,arrivals_count_lag_2h,0.002154457615688443,0.0003900701703969389,0.00017664335609879345,-0.00078021694207564,0.001567303086631,45,0.8702677893137503,0.0018749550663753548
0,estable,arrivals_count_lag_24h,0.01420395914465189,-0.00095281534595415,-0.003284280886873603,-0.010010456666350365,0.005538249388337135,16,0.8702677893137503,0.012361248124319027
0,estable,occupancy_ratio_mean_previous_3h,0.016201766207814217,-0.013288667425513268,-0.010295312851667404,-0.021489419043064117,-0.002515929751098156,13,0.8702677893137503,0.0140998752606527
0,estable,occupancy_ratio_mean_previous_24h,0.13085569441318512,-0.05374911427497864,0.03884972259402275,0.0014404412358999252,0.06276597827672958,4,0.8702677893137503,0.11387949589607828
0,estable,net_flow_mean_previous_3h,0.013101425021886826,0.0062423706986010075,0.008101667277514935,0.0024502230808138847,0.01478304248303175,19,0.8702677893137503,0.0114017481906573
