prediction_row_index,fecha_hora_local,station_id,risk_class_1h,prediction,is_error,probability_0,probability_1,probability_2
7447,2022-11-13 14:00:00,108,0,0,False,0.85198754,0.14771631,0.0002961214
112545,2022-11-13 07:00:00,243,2,2,False,0.045776647,0.000309381,0.953914
290826,2022-12-18 06:00:00,227,2,2,False,0.062463574,0.00044155557,0.93709487
373972,2022-12-28 10:00:00,92,2,2,False,0.19882102,0.0006177688,0.80056125
183359,2022-11-14 12:00:00,92,2,2,False,0.124371655,0.000531864,0.87509644
328558,2022-12-28 19:00:00,33,0,0,False,0.97423697,0.024710888,0.0010521577
249122,2022-12-23 13:00:00,174,1,1,False,0.046228416,0.9536628,0.0001087053
145287,2022-11-07 01:00:00,42,2,2,False,0.06644107,0.00039627214,0.9331627
13734,2022-11-07 08:00:00,116,0,0,False,0.9823965,0.0043949313,0.0132085625
246948,2022-12-23 02:00:00,171,1,0,True,0.71938646,0.28034294,0.00027061108
230905,2022-12-14 15:00:00,151,2,2,False,0.26165557,0.0007092844,0.73763514
5666,2022-11-28 18:00:00,105,2,2,False,0.28238234,0.0006524587,0.7169652
102007,2022-11-21 02:00:00,228,2,2,False,0.08153965,0.00041819218,0.9180421
47108,2022-11-27 14:00:00,158,1,1,False,0.21984738,0.7799443,0.00020832715
37021,2022-11-24 09:00:00,145,2,2,False,0.23704554,0.0007799406,0.76217455
299376,2022-12-13 15:00:00,239,2,0,True,0.55324954,0.0007930331,0.44595745
105746,2022-11-27 22:00:00,233,2,2,False,0.0930318,0.0003877544,0.90658045
38053,2022-11-07 17:00:00,147,1,1,False,0.0010173906,0.9989146,6.803162e-05
288667,2022-12-18 10:00:00,224,0,0,False,0.97518796,0.00093659875,0.023875393
346369,2022-12-19 19:00:00,56,2,2,False,0.15939966,0.0007013139,0.839899
87303,2022-11-04 04:00:00,209,0,0,False,0.93815714,0.06169915,0.000143757
326564,2022-12-04 21:00:00,31,0,0,False,0.99705243,0.0019667626,0.0009807856
68952,2022-11-14 05:00:00,186,2,2,False,0.07261499,0.0003990928,0.9269859
85185,2022-11-05 07:00:00,206,1,1,False,0.08060171,0.9191902,0.00020806609
27382,2022-11-10 01:00:00,133,2,2,False,0.043597315,0.00030926178,0.95609343
34547,2022-11-10 16:00:00,142,1,1,False,0.0010930604,0.9988424,6.457651e-05
203256,2022-12-04 04:00:00,117,1,0,True,0.9617121,0.03816372,0.00012418469
325248,2022-12-10 03:00:00,3,0,0,False,0.93916,0.060659047,0.00018099362
8210,2022-11-15 14:00:00,109,0,0,False,0.9793803,0.01826943,0.0023502144
96074,2022-11-12 05:00:00,220,2,2,False,0.07417887,0.00053546875,0.92528564
332557,2022-12-14 06:00:00,39,2,2,False,0.24472266,0.00056283467,0.7547145
298307,2022-12-30 02:00:00,237,0,0,False,0.99785304,0.0017010851,0.00044588838
198668,2022-12-24 05:00:00,110,1,1,False,0.12495096,0.8748254,0.00022359758
332296,2022-12-03 09:00:00,39,2,0,True,0.54882467,0.001734502,0.44944087
176060,2022-11-08 05:00:00,83,2,2,False,0.09359657,0.0005846439,0.90581876
301237,2022-12-01 01:00:00,242,2,2,False,0.06612517,0.0004092332,0.9334656
329524,2022-12-08 01:00:00,35,1,1,False,0.0009906418,0.9989373,7.208234e-05
300738,2022-12-10 07:00:00,241,0,0,False,0.99563354,0.0030525727,0.0013138464
85749,2022-11-28 21:00:00,206,1,1,False,0.3868248,0.61291176,0.00026342695
302911,2022-12-10 17:00:00,244,1,0,True,0.96102756,0.03848,0.00049239554
319882,2022-12-27 19:00:00,266,0,0,False,0.7892987,0.21039511,0.00030619025
319854,2022-12-26 15:00:00,266,0,0,False,0.9539747,0.045690957,0.00033432536
126486,2022-11-28 03:00:00,261,0,0,False,0.90649,0.09328689,0.00022304595
331568,2022-12-03 02:00:00,38,1,1,False,0.042419307,0.95744747,0.00013319895
349940,2022-12-17 22:00:00,60,0,0,False,0.9963666,0.0026545725,0.0009787612
144987,2022-11-24 10:00:00,41,1,1,False,0.3215466,0.67800623,0.00044715777
190020,2022-12-24 09:00:00,10,0,0,False,0.99490213,0.004013329,0.0010844904
211176,2022-12-03 17:00:00,127,0,0,False,0.9944547,0.00071450014,0.0048308885
171731,2022-11-06 14:00:00,78,1,0,True,0.73363644,0.26595774,0.00040583132
307575,2022-12-25 17:00:00,25,1,0,True,0.63571715,0.363994,0.00028883282
158597,2022-11-25 11:00:00,59,0,1,True,0.33541054,0.66423994,0.00034950627
168894,2022-11-07 13:00:00,74,0,0,False,0.7945358,0.20499122,0.00047302915
368927,2022-12-28 12:00:00,86,1,0,True,0.8542262,0.14546742,0.00030643132
169856,2022-11-17 22:00:00,75,2,0,True,0.60266316,0.00085814524,0.39647865
236294,2022-12-29 19:00:00,158,0,0,False,0.9567443,0.042962562,0.0002931353
77382,2022-11-07 21:00:00,197,2,0,True,0.59998477,0.0012384929,0.39877674
69477,2022-11-06 05:00:00,187,0,0,False,0.6652549,0.0007732259,0.3339719
8745,2022-11-08 00:00:00,11,1,1,False,0.039834954,0.96001554,0.00014952425
64067,2022-11-19 05:00:00,18,0,0,False,0.9931263,0.0060816053,0.0007920521
45339,2022-11-13 11:00:00,156,0,0,False,0.5954,0.40436658,0.00023344465
2542,2022-11-17 18:00:00,101,1,0,True,0.97633433,0.023415435,0.00025017932
297948,2022-12-14 05:00:00,237,2,0,True,0.7132045,0.00066230504,0.2861332
255872,2022-12-03 11:00:00,183,0,0,False,0.9900107,0.00739858,0.0025907485
99730,2022-11-15 14:00:00,225,0,0,False,0.9968876,0.002801266,0.00031105013
143621,2022-11-27 02:00:00,4,1,0,True,0.8703881,0.12937392,0.00023800383
95494,2022-11-17 20:00:00,219,2,0,True,0.5500091,0.0009821124,0.44900885
229509,2022-12-16 13:00:00,15,1,0,True,0.8434448,0.1562413,0.00031389907
77651,2022-11-19 04:00:00,197,0,0,False,0.9981592,0.001523684,0.00031714808
28993,2022-11-17 14:00:00,135,0,0,False,0.9964324,0.0008004726,0.0027670562
224410,2022-12-14 09:00:00,143,1,1,False,0.001075619,0.99884856,7.5810756e-05
161916,2022-11-14 19:00:00,63,1,1,False,0.09368849,0.9060572,0.00025431413
90873,2022-11-03 23:00:00,213,2,0,True,0.5577581,0.00088233687,0.44135958
35380,2022-11-15 14:00:00,143,1,1,False,0.001022063,0.9989127,6.530357e-05
339931,2022-12-22 00:00:00,48,2,2,False,0.054875523,0.00040007028,0.94472444
222135,2022-12-09 17:00:00,140,0,0,False,0.9971566,0.0025339907,0.00030937712
223763,2022-12-17 20:00:00,142,1,1,False,0.0031270985,0.99668676,0.00018611894
