station_id,departures,arrivals,total_activity,net_arrivals,absolute_net_flow,departure_share,station_name,address,latitude,longitude
5,1558,1560,3118,2,2,0.4996792815907633,4 - Malasaña,'Calle Manuela Malasaña nº 5',40.4285524,-3.7025875
87,1535,1579,3114,44,44,0.4929351316634554,82 - Niño Jesús,'Calle Doctor Esquerdo nº 161',40.4084556,-3.6697526
39,1550,1557,3107,7,7,0.49887351142581265,35 - Plaza del Cordón,'Plaza del Cordón',40.4141931,-3.7103285
114,1559,1530,3089,-29,29,0.5046940757526708,108 - Mártires Concepcionistas,'Calle Mártires Concepcionistas nº 2',40.4273005,-3.6706024
166,1543,1539,3082,-4,4,0.5006489292667099,143 - Diego de León 52,'Calle Diego de León nº 52',40.4345973,-3.678492
94,1553,1520,3073,-33,33,0.505369345916043,89 - Conde Peñalver,'Calle Ayala nº 102',40.4272582,-3.6752024
69,1521,1514,3035,-7,7,0.5011532125205931,65 - Antonio Maura,'Calle Antonio Maura nº 15',40.4166834,-3.6894193
185,1474,1558,3032,84,84,0.4861477572559367,177 - Legazpi,'Calle Bolívar nº 3',40.3914722,-3.6941944
214,1542,1489,3031,-53,53,0.5087429891125042,206 - Metro Tetuán,'Calle Marqués de Viana nº 3',40.4607502,-3.6989925
106,1490,1539,3029,49,49,0.49191152195444043,101 - Jorge Juan,'Calle Jorge Juan nº 131',40.4231526,-3.6691524
31,1511,1515,3026,4,4,0.4993390614672835,27 - Huertas,'Calle Jesús nº 1',40.4132798,-3.6956178
226,1432,1572,3004,140,140,0.4766977363515313,218 - Camino Vinateros,'Calle Camino de los Vinateros nº 28',40.41053,-3.65779
198,1550,1451,3001,-99,99,0.5164945018327224,190 - Velázquez-Diego de León,'Calle Velázquez nº 91',40.4343333,-3.6835833
121,1468,1512,2980,44,44,0.49261744966442955,114 - Quintana,'Calle Quintana nº 11',40.4277456,-3.7174158
25,1467,1507,2974,40,40,0.4932750504371217,22 - Jacometrezo,'Calle Jacometrezo nº 3',40.4200783,-3.7065376
240,1498,1471,2969,-27,27,0.504546985517009,232 - José María Pereda,'Calle José María de Pereda nº 1',40.43272086245887,-3.6485306152875143
252,1450,1499,2949,49,49,0.4916920990166158,244 - Hospital Clínico,'Calle Isaac Peral nº 44',40.44003,-3.71757
209,1480,1435,2915,-45,45,0.5077186963979416,201 - Canal,'Calle José Abascal frente al nº 2',40.4386944,-3.7038333
110,1517,1382,2899,-135,135,0.5232838909968954,105 - Serrano,'Calle Serrano nº 54',40.42699,-3.68745
40,1452,1433,2885,-19,19,0.5032928942807625,36 - Plaza Ramales,'Plaza de Ramales',40.4168,-3.71183
194,1437,1435,2872,-2,2,0.5003481894150418,186 - General Pardiñas,'Calle General Pardiñas nº 56',40.4290555,-3.6782777
155,1447,1421,2868,-26,26,0.5045327754532776,146 - María Francisca 1,'Calle María Francisca nº 1',40.4442258,-3.6787169
264,1406,1421,2827,15,15,0.497347010965688,256 - Reina Victoria,'Calle Beatriz de Bobadilla frente al nº 2',40.44635,-3.71383
148,1416,1340,2756,-76,76,0.5137880986937591,147 - Doctor Arce 45,'Avenida del Doctor Arce nº 45',40.4483269,-3.6797296
227,1310,1420,2730,110,110,0.47985347985347987,219 - Marroquina,'Calle Camino de los Vinateros nº 108',40.408264,-3.646697
246,1404,1289,2693,-115,115,0.5213516524322317,238 - San Germán 5,'Calle San Germán nº 5',40.45619382579544,-3.69293767517953
1,1325,1265,2590,-60,60,0.5115830115830116,1a - Puerta del Sol A,'Puerta del Sol nº 1',40.4172137,-3.7018341
127,1262,1259,2521,-3,3,0.50059500198334,119 - Méndez Álvaro,'Calle Méndez Álvaro nº 11',40.4013216,-3.6863218
249,1282,1239,2521,-43,43,0.5085283617612059,241 - Camilo José Cela,'Avenida de Camilo José Cela nº 23',40.4378,-3.66779
167,1299,1218,2517,-81,81,0.5160905840286055,142 - Castellana 42,'Paseo de la Castellana nº 42',40.4334087,-3.6879154
215,1264,1245,2509,-19,19,0.5037863690713431,207 - Remonta,'Calle Azucenas nº 1',40.4630277,-3.6973333
201,1331,1158,2489,-173,173,0.5347529128163921,193 - Ventas,'Avenida de los Toreros nº 49',40.4324722,-3.6655555
138,1253,1226,2479,-27,27,0.5054457442517144,158 - Alberto Alcocer,'Avenida de Alberto Alcocer nº 22',40.4585318,-3.684715
15,1219,1159,2378,-60,60,0.5126156433978133,14 - Ventura Rodríguez,'Calle Duque de Liria',40.4260957,-3.713479
11,1205,1145,2350,-60,60,0.5127659574468085,10 - Marqués de la Ensenada,'Calle Marqués de la Ensenada nº 16',40.42533,-3.69214
36,1121,1228,2349,107,107,0.4772243507875692,32 - Plaza de la Provincia,'Plaza de la Provincia nº 1',40.4150099,-3.7061032
140,1231,1110,2341,-121,121,0.5258436565570269,156 - Sor Ángela de la Cruz,'Calle Sor Ángela de la Cruz nº 2',40.4592351,-3.691533
242,1135,1198,2333,63,63,0.48649807115302185,234 - Marqués de Corbera 52,'Avenida Marqués de Corbera nº 52',40.42620714320088,-3.651034981803642
109,1200,1125,2325,-75,75,0.5161290322580645,104 - Castellana,'Paseo de la Castellana nº 4',40.42677,-3.68958
223,1131,1181,2312,50,50,0.48918685121107264,215 - Gutierre de Cetina,'Calle Gutierre de Cetina nº 77',40.429706,-3.640994
72,1118,1155,2273,37,37,0.49186097668279805,68 - Espalter,'Calle Espalter nº 1',40.4128372,-3.6912023
216,1192,1062,2254,-130,130,0.5288376220053239,208 - Plaza de Castilla,'Paseo de la Castellana nº 216',40.4663611,-3.6886388
146,1146,1106,2252,-40,40,0.5088809946714032,149 - Paseo de la Habana 42,'Paseo de la Habana nº 42',40.4498613,-3.6881689
158,1156,1085,2241,-71,71,0.5158411423471665,135 - Plaza de San Juan de la Cruz,'Plaza de San Juan de la Cruz nº 11',40.4415974,-3.6927821
234,1099,1140,2239,41,41,0.49084412684234036,226 - Sierra Toledana,'Camino de Valderribas nº 94',40.39901531507069,-3.6607768678037744
93,1135,1075,2210,-60,60,0.5135746606334841,88 - Embajada de Italia,'Calle Velázquez nº 75',40.4313576,-3.6838303
122,1105,1099,2204,-6,6,0.5013611615245009,115 - Ferraz,'Calle Evaristo San Miguel nº 2',40.4253944,-3.7170448
265,1072,1120,2192,48,48,0.48905109489051096,257 - INEF,'Avenida Juan de Herrera frente a la calle Paul Guinard',40.43896,-3.72997
35,1110,1080,2190,-30,30,0.5068493150684932,31 - Calle Mayor,'Calle Mayor nº 20',40.4163638,-3.7068969
205,1118,1072,2190,-46,46,0.5105022831050229,197 - Parque Berlín,'Avenida de Concha Espina nº 34',40.4515833,-3.6780555
96,1079,1073,2152,-6,6,0.5013940520446096,91 - Príncipe de Vergara,'Calle Hermosilla nº 70',40.426134,-3.6787441
147,1064,1081,2145,17,17,0.496037296037296,150 - Castellana frente a Hermanos Pinzón,'Paseo de la Castellana nº 122',40.4488924,-3.6905604
